nickname,talk
짱돌,아닌가요~?!!제가  빈센조에  홀려서  뭐든  빈센조 2로  보이나~~ㅜㅜ
qwe,기사 안나오는데요 시즌2??
mock****,유투브 검색창에 십오야채널을 쳐보세요 1편 /2편 있어요
yh28****,http://cafe.daum.net/Duckgu/D6g5/512?q=%EC%86%A1%EC%A4%91%EA%B8%B0&re=1
mock****,지금 보고왔는데 넘 반가움
qwe,안나오는데요??
mock****,유투브 십오야채널에 출연진들 거의 다 나와요
짱돌,다음에요
벚꽃엔딩,어디에??
glor****,그러게 빈센조팀 예능나왔으면좋겠는데...아형이라던지 런닝맨...뭐 등등..ㅎㅎ
qwe,어디요??
glor****,짱돌님 진짜요?어디기사에 나와있나요?
하나,대박 진짜요?시즌2?
벚꽃엔딩,정말로~~우와
짱돌,빈바님들  시즌2나온다고  기사떴어요~!!!!
짱돌,시즌2한다고  기사떴는데  우째된 상황임~~?!!  어리둥절~~~~~!!!!!
nune****,"19,20화 메이킹 올려두떼요~~!!"
8층조두순딸년,너는 지금까지 저지른 너의 죄값 반드시 갚아야할거야 세상에 공짜는 없다  원인없는 결과도 없고 니가 저지르는 죄의 값들은 쌓이고 쌓여  니가 다 갚아야할거야 ㅎ
8층조두순딸년,니딸년이 지금은 감추고  표현을 못해도 이가갈리게 니얼굴에 침뱉고싶게 널 증오하게될거야. 정상적인 사고가 조금이라도 남아있다면
8층조두순딸년,clean boat cleaned it
미니45,스폐셜방송이나 예능프로에안나올까여? 송중기 전여빈 옥택연 봤으면좋겠어여~~
이혜미,2편 했으면 좋겠어요ㅠㅠ
스미레뮤,지금 20회 못본거 넷플보고 있는뎅동생회장을 죽이면 우짜 ㅜㅜ 귀염동이 였은뎅 우띠
클라스녀,목빠지겠음
클라스녀,메이킹안올라오나용
8층조두순딸년,clean boat cleaned it
Min,빈센조 시즌2는 시기미정?
Min,빈센조 시즌2 하게되면 배우들 똑같이 나왔으면 좋겠습니다.다른배우들도 좋습니다.
sj21****,시즌2  부탁해요~^^
Min,"빈센조 시즌2 몇년도, 몇월, 몇일에 나오나요"
Min,빈센조 시즌2 언제나오나요
Min,빈센조 시즌2 할 때 ost 빨리 나왔으면 좋겠고 많이 나왔으면 좋겠습니다.
ryu,시즌2 나온다고 하던가요? 저도 정말 기다리고 있는 데 했으면 좋겠네요
Min,빈센조 시즌2 하게되면 30부작 해주세요
ryu,아무쪼록 다들 수고 하셨습니다
Min,빈센조 시즌2 언제나오나요
Min,빈센조 20부작인데도 불구하고 사고 없이 잘 끝내서 감사합니다.
ryu,메이킹은 다음주에 올라오지 않을까요. 매일 다음주 간격으로 올라온걸로 알고 있어요ㅜ
아로미,메이킹 언제주나요....
Min,"빈센조 감독,분장,배우, 작가, 조명, 스태프, 카메라 등 수고 많으셨습니다."
ryu,시즌 2 합시다 ㅠㅠㅠㅠ 정말 기다리고 있어요한다고는 안했지만 ㅠㅠ
벚꽃엔딩,시체거름으로 처리했으니 신분세탁필요없을것 같아요.물증이 없으니..
쁘니,5월7일 저녁8시
tisp****,7일날 팬미팅 댓글로다가 백상 홍보좀 해야겠네요
벚꽃엔딩,팬미팅이니 직접하시지 않겠어요
삥삥,하이스토리 5월 7일에 송중기 라이브 돼있는데 실제로 송중기님이 라이브 하시는 건가요??
tisp****,"2021 Baeksang Arts Awards Popularity Award 🏆 This year's Baeksang Arts Awards Popularity Award Who is the protagonist?🕺💃 If you share the TikTok voting page with a friend, you will receive 2 additional votes! https://vt.tiktok.com/ZSJDRTmAa/"
벚꽃엔딩,tisp님 유튜브에 가서 하이스토리검색하면 송중기팬미팅창 있어요. 거기에 댓글 달면됩니다
아리따운나비,시즌2~  신분세탁해서 한국옵시다ㅜ
쁘니,그러게요 빨리 메이킹 풀어주시지ㅜㅜㅜ
gkdi****,메이킹 안올라오나요?ㅠㅠ
쁘니,앞으로가 걱정이군요..빈센조없는 날을 어찌보낼지 ㅜㅜ
꼬르륵aa,넷플 몰아보기로...달래는중입니다...아직도 빠져나오지못하고있어요 ㅠㅠㅠ
삥삥,"근데 전 첫회 볼 때가 2월달이라는게 두 믿기지 않네요...2,3,4,월은 함께 보낸거잖아요?!"
삥삥,그러게요ㅋㅋㅋㅋ
쁘니,두달밖에 안됐다니 믿기지않아요 ㅋㅋ 일년은 빠져산거같은데
삥삥,만약 시즌2 하면 스토리가 어떻게 될까요??빈센조는 현재 무인도?에서 살고 있고 수교 기념일에만 수교 사절단에 몰래 섞여 오는데
tisp****,좋은여자분 만나세요. 예쁘고 어리고 착하고 인성 바른분으로다가^^^^
쁘니,두달넘는 시간동안 빈센조에 푹 빠져살았죠..
tisp****,송중기배우님 이 톡방 들어오시면 얼마나 뿌듯하실까용~~아웅^^^^
삥삥,맞아요ㅠㅠ 첫 방송이 2월 20일이라는게 느껴지지 않죠ㅠㅠ
조빛,시간 지나가는 것도 모르고 본 빈센조 ㅜㅜ
삥삥,송중기님은 시간이 지날수록 점점 더 잘생겨지는 느낌....
쁘니,전여빈님도 나오시지 ㅜㅜ 왜없죠.. 아쉬워요
삥삥,빈센조 1회 한 게 2월 20일이라니...시간 참 빨리 갔네요ㅠㅠ
박은서,자꾸 투표 실패떠요ㅠㅠㅠ
tisp****,인스타를 안해서 잘 모르는데요. 홈피 주소 바로 누르면 연결되게 하는거 어케 하는거예요?인스타 댓글 달라고요 외국인한테 ㅋㅋㅋ
꼬르륵aa,빈센조 배우분들 연기력이 다 후덜덜이라...좋은거 다 타가셨으면 좋겠네요...
지랭이,소중기~남자가 곱상하니 이쁘네  끝났다니 아쉽다!
삥삥,새로고침 할때마다 느네
삥삥,오우 벌써 또 늘었네
삥삥,아까보단 많이 격차 줄긴 했는데ㅠㅠ아직 멀었네요ㅠㅠ
삥삥,김선호님 투표 현황 - 154.28K          송중기님 투표 현황 - 101.61K
꼬르륵aa,전여빈님도 능청스럽게 맛갈나게 잘하셨는데ㅜㅜ넘넘 아쉽네요 ㅜㅜ
tisp****,시상하러 오지 않겠습니까 턱시도 입고~아유 이뻐랑^^
kaki****,아 한 발 늦었다..
tisp****,https://vt.tiktok.com/ZSJDRTmAa/ 백상 링크
tisp****,https://vt.tiktok.com/ZSJDRTmAa/이 주소좀 빈센조 유트브나 외국팬들한테 뿌려주세용~~
kaki****,여빈님찾다가 안보여서..ㅜ
박은서,백상예술대상 링크좀 보내주세요 ㅠㅠ 툽하고싶은데 못찾뎄어요
삥삥,글게요 백상예술대상 여자 부문에 전여빈님 안계시던ㄷㅔ
꼬르륵aa,전여빈님은 안오시나요
kaki****,와 친구 아이디 빌려서 송중기3표 다쓰고 왔다
tisp****,틱톡 공유하면 표 2개 더 생겨요~~할사람 없으면  카톡 나에게 공유해도 표 생깁니다!!!!꼭
삥삥,인스타 하시는 분들 백상예술대상 송중기님 퉆해달라고 한번만 댓 써주심 안되나요ㅠㅠ 전 인스타를 안해서...ㅠㅠ
Ithuifg,송중기 85년생 37살임1살 올리지 마세욬ㅋㅋㅋ
삥삥,메이킹 볼때마다 느끼는 건데 빈센조는 촬영현장 분위기 좋은 드라마로 유명한 이유를 알겠음...NG 나도 감독과 배우 모두 웃고 감정이 시청자들한테 더 잘 전달되도록 노력하는 모습도 보이고..
tisp****,백상 외국인 팬분들 투표하면 대박인데요..ㅠㅠ 인스타그램에 댓글수 막 85000개예요..이런분들이 투표만 해주면 1위인데..홍보좀 부탁드립니다.ㅠㅠ
레베럽,빈센조 메이킹 맨날 기다리는데ㅠㅠ 빨리 보고싶당 마지막에 다 모여있어가지구 메이킹 빵빵했음 좋겠네 30분짜리여도 볼수있는데
최선영,메이킹 점심쯤 올라올걸요ㅠㅜ
삥삥,메이킹 유튜브에 올라오는데요
jud,메이킹 언제 나오나요ㅠㅠ
나현정,빈센조 메이킹 왜 안올라오나요 ㅠ
삥삥,송중기님은 저 얼굴이 어떻게 38살인지도 모르겠고 나라면 매일 거울보다가 나랑 사랑에 빠짐
