nickname,talk
세이코,세계신기록 최악 드라마 ㅋㅋ 돈들여 돈 버려
221B,그동안 찾던 곡 전부 있네. 법원에 등장할 때 곡도 있고!! ㅎㅎㅎㅎ 굿굿!!👍👍
쑤기,검은머리 파뿌리 ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ
소심한마녀,아.. 스님ㅋㅋ
Zero,시즌✌
221B,와우!! 빈센조 OST 대박!! 67곡!!
맘마미아,시즌2
별명없다,"병윈씬,장례식 안하더니 살아있네"
Flower,송중기배우 모든작품. 정주행~연기잘해. 잘해.~❤
2980년드디어LG우승,최악의 연기자 최명희 사투리도 거지같이 못하고 분위기 다깨고 진짜 최악
룰루랄라,ㅋㅋㅋㅋㅋㅋㅋ
Tae복,악은악으로 ~~잔인할수밖에 송중기.대사제대로들으면다이해가가는 장면들인데
평생광고인,홍차영이 166이연 난 190이다진짜 짧다
Zero,그 꿈속의 어린아이는 적을 죽이고 보니 아이가 그 상황들을 보고있었던거예요 자신의 양부모의 죽음을 보았던 자신의 어린시절과 닮아있었고 자신이 악당이 된 이유이기도 했기에 트라우마로 남아 어린아이는 건드리지 않겠단 철칙이생긴거구요
맘마미아,빈센조 시즌2  꼭 해줘요
em04****,마지막 2회 왜저럼~적당한 스토리에 적당한 코믹에 정말 만족하고 보고 있었는데 마지막에 욕심을 너무 부렸나~갑자기 잔혹하기 그지없네요~ 다른 드라마와 다를줄 알았는데 결국 같네요~배우님들 신들린 연기덕에 끝까지 봤습니다!
Tae복,송중기진짜연기 캬~~
대장,속이후련이렇게 악을심판해야지
매력덩어리,무섭네요 빈센조
예가자,1+1 악당 둘을 묻었네
Zero,빈센조라는 악당도 사람이기 때문에 강인해 보여도 후회되는 일들 잔상에 남아 계속 자책으로 남는 것 같아요
Jin Eun,전여빈과 곽동연의 재발견
촘촘이,포도밭
룰루랄라,ㅉㅉㅉ
사랑이남도록,아...좀 짜증나는...사람을 무참히도
인태,제대로 안풀린 떡밥이 너무 많아요... 시즌2를 계획하고 계신다면 하루빨리 기사내주시길...ㅜㅜ
Zero,그 트라우마는 계속 보여줬죠 친절히 설명하진 않았지만 꿈속에서 계속 보여줬죠 그리고 또 어머니가 죽고난 후 추가되었구요
INBI,아니 빈센조 시즌 2 나올 수도 있을 것 같은게 제일 먼저 이 드라마를 시작할 때 분명 금가프라자가 무너졌단말이죠 근데 이번 드라마에서는 무너지지 않았잖아요 ? 라고 생각하면서 시즌 2 기대합니다
푼수마녀,"차라리 zero 님 말씀처럼 여자와 아이는끌어들이지 않는다는 원칙이 무너진 것 때문에 , 혹은 곰인형 안고 있던 아이에 연관된 트라우마 때문에 잠시 자신을 잃었던 거라면 차라리 수긍해요 다만 그게 극중에서 충분히 설명되진 않았어서 아쉽네요"
찰보리,저런마피아  있었으면.
Zero,사랑하는사람 인질로 잡혀서  최대한 더 장한석을 자극 안한듯 보입니다  트라우마 추가하지 않으려구요
프하하,"잔인하게 죽어서 완전 통쾌했음, 너무너무 재미있게 봤어요, 쬐금 속상한건 최명희님 대사가 안들려요ㅜ  발음이 부정확해서 무슨말인지 잘 모를때가 많았어요ㅜㅜ"
loo3****,한서 장례식장 장면좀 있었으면……..
룰루랄라,눈 귀 다 막고 자기 할말만 하는듯
포도,장한서가 빈센조에게 고마워~~고마웠어~~~~~하는데~~너무나 짠~~하구~ ~빈센조에 대한 그의 진심이너무나 너무나 찐하게 느껴져서~~보고 또 봐도  그 장면을 볼 때 마다 눈물이 나오네요ㅠㅠㅠ우리한서 그동안 얼마나 힘들었을까ㅠㅠ나쁜 행동을 많이 하긴 했지만 매번 형에게 무시 당하고 고통스러웠는데~빈센조 같은 멋지고 따뜻한 형을 만나 너무나 행복해 하는 모습 보기 좋았는데ㅠㅠㅠ너무나 가슴이 아프고 안타까웠어요ㅠㅠㅠ
틱탁이,여튼 막판에 밤고구마 100박스 투척해주셨음.. 어차피 드라만데 좀 기분좋게 끝내주면 안되는건가..  아진짜 한국드라마는 맨날 이래!!  마무리할줄을 몰라!!
밀크씨슬,저양반 이상하신 분이시네
촘촘이,왜 작가의 의도를 우리가 굳이...반발해야되나..우린 그싀 작품의 시청자일뿐...관여하는 사람은 아니니깐
인태,하 시즌2안할거같지만 그래도 기대를 해봅니다...
룰루랄라,한서가 죽은것때문이 아니라고 하는데 뭔소리?ㅋㅋ
viviana,한서가 죽어서 불만인게 아니라 한서가 죽는 그 장면이 이해가 안가게 연출을 해서 실망한거에요
my mino,19회 20회 봤는데 장군이 밖에 기억이 업네요끝까지
촘촘이,우린 작가가 아니잖아요?
밀크씨슬,한서 죽이는건 작가 맘이니 크게 상관은 없는데 그장면이 너무 이상하단거죠~!! 이해가 안가는 연출
촘촘이,근데 한서가 살아서 회장되서 막상 초반엔 잘한다쳐...근데 우리나라 정치 기업가 비리없는사람 있어요? 한서가 언제까지 좋은기업가가 될거같음? 난 이 스토리가 맞다고 봄
퍼플,다들 연기 짱 ㅇㅅㅇ
푼수마녀,그때 그 장면에서 한서가 그랬죠 빈이형이 나 자켜줄 거니까 라고요어떻게 라는 상황이 문제라는 건데왜 자꾸 단순히 한서가 죽은 걸로 투덜대는 걸로 몰아가는지
nym,한서 죽는건 복선이 있긴 했어요. 그래서 다들 걱정 했었죠. 설마 했는데 진짜 죽어서 다들 화가 많이 나서 그런가 봐요.
촘촘이,포도밭거름 ㅡ한석이 명희
dmsa****,ㅋㅋㅋㅍㄱㅋㅋㅋㅋㅋㄹ노세요잼께
룰루랄라,ㄷㄷㄷ😨
Hnaaaaaa,다들 좋은작품으로 다시 봤으면 좋겠어요ㅎㅎ시즌2 했으면~~~
촘촘이,나같아도 사랑하는사람 챙겨요
Zero,저는 멀뚱해 보이지는 않았고 그저 본인 악당의 여자 안전이 더 중요해 보였습니다 여자와 어린아이는 안끌어들인다는 철칙이 있는데 자기 여자를 눈앞에서 건드린것에 아무생각 할 수 없이 무너진 느낌을 작가님은 표현하고 싶었던것 같아요
촘촘이,아니 다큰성인이 도망가라고 말까지 했는데 본인이 받아들이고 굳이 싸우겠다는데 빈센조가 안챙긴게 뭐가중요하죠?
cnal****,저장면 쏘우 같네
dmsa****,소중한차영은혼자잇어도안죽었을거란걸누가봐도알수있으니아쉬운마음인거죠다들
촘촘이,한서보고 빈센조가 해외로 가라고 권했고 본인이 겸허히 받아들이고 싸우겠다고 했어요 한서는
푼수마녀,다정하게 라면 먹는 장면 너무 좋은데
nym,곽동연이 연기를 너무 잘 하고 팬이 많이 생겨서 그래요. 연기를 너무 짠하게 잘 해서 그래요.
dmsa****,갑자기오신분들은한서죽여서이러나싶으신거같은데앞전대화보시면이해되실거예요
촘촘이,어찌 한서까지 챙기란거지???자기는 엄마다음 소중한 차영을 더 소중해서 챙긴건데
밀크씨슬,손쓸수 없이 죽는거랑 살릴수 있는  타이밍이 몇번이나 있었는데도 여자만 안고 멀뚱 멀뚱 하게 연출한건 실수임
촘촘이,빈센조란 캐릭의 성격의 본성을 잘생각해보세요 정스럽고 다 챙기는 스타일은 아니예요
dmsa****,그때살려달라는게아니구빈센조가진짜못올만큼극적인상황이길바랬던마응이죠여자가의식잃고쓰러졌거나그런?
Hnaaaaaa,근데 또 막상 다 구하고 바로 장한석 총쏴서 죽였으면 너무 뻔했을거같아요. 작가님도 많은 고민을 하셨을거같네요..ㅎㅎ
촘촘이,이드라마 주인공은 한서가 아닙니다 여러분
dmsa****,빈센조가인기많긴한가보네요그냥보다가전답답해서썻는데톡진짜쓰시고하는가보네요ㅎㅎㅎㅎ
Zero,그때 살렸더라도 한승혁죽음처럼 더 잔인하게 죽였을거예요 장한석은  장한서를
dmsa****,빙센조ṑṑṑṑṑṑṑṑṑṑṑṑṑṑṑṑṑṑ웃기네요진짜닉네임잘정하시는분들신기해요
푼수마녀,한서를 죽였나 안 죽였나 의 문제가 아니고요어떻게 의 문제인 거예요그렇게 죽을 쓸 필요는 없었죠작가가 욕 먹는 게 문제 아니고지금 보면 홍차영에게 불똥이 튀고 있는 분위긴데요
유병현,그래도 이건 너무 아니라고 봐요 빈센조 걍 멀뚱멀뚱 한서 보기만 했잖아요 드라마가 일단 재밌어야 배우도 기억에 남는거죠 아무리 그래도 저건 좀
dmsa****,지금껏빈센조능력이라면살릴수있었을상황인ㄷㅔ여자 지지해주느라 못도운건 여전히 싫네요 ㅎ.ㅎ.ㅅ
my mino,형 그만해!
촘촘이,저는 곽동연배우를 기억하게되서 작가한테 고마워요 오히려
Zero,장한서가 개과천선해서 죽음에 대해 아쉽지만.. 그래서 빈센조가 죽이지 않았잖아요 한서는 한석이 장씨패밀리 배신해서 죽은거죠 그리고 바벨화학 무고한 직원들 가족들 죽인거 일조도 했구요 누구에게는 복수의 대상이었습니다
my mino,귀남이 조카 보면서 울었요장군아~
nym,저도 살길 바랬어요. 반전이 있겠지 했는데 그 점은 너무 안타까웠어요.다른 드라마에서라도 곽동연님의 멋진 연기 또 보고 싶어요.
푼수마녀,다른 드라마 보고 오셨다기에 드린 말씀였어요 그만큼 시간을 투자하셨다는 건 그 배우에 대해 알고 싶으셨다는 거잖아요 그래서 좋은 연기 보여줬던 거 추천한 거였구요 전 연기 못 하는 배우는 아예 관심 끄고 찾아보지도 않거든요
dmsa****,지점장처럼후다닥손못쓰게죽이든ㅜㅠ아까그정지화면같은장면은ㅋㄱㅋㄱㅋㅋ너무충격적이였어요저에겐
촘촘이,대신 우리는 곽동연배우를 더 기억하게 되잖아요저는 작가가 알면서 더 배우를 위한거라 생각됩니다
룰루랄라,맞아요
viviana,한서 죽이는건 작가마음인데 그 장면은 너무 어설펐어요 여자 지키느라 빈센조가 아무것도 못한장면
밀크씨슬,괴물은 끝날때까지 여운도 남고 멋졌는데 빈센조는 끝이 왜저려 ㅎㅎㅎ
촘촘이,여러분 작가가 본인 욕먹을거 알면서 한서라는 캐릭을 죽이고 곽동연배우를 각인시키고 우리들에겐 욕먹는작가로 남는게 쉬울거 같아요?
유병현,저기서는 착하게 나오잖아... 자기는 못된짓 한 사람한테 벌준다고 온갖 사람들한테 피해 주고... 그건 그냥 포장일 뿐임...
Hnaaaaaa,장한서도 살인에 가담했었으니 어쩔수 없다고 봐요!
dmsa****,네네한서 나쁜벌받는것도맞지만ㅜㅠ여자랑서서구경하고죽이는건싫네요ㅎㅎㅎㅎㅎ
촘촘이,장한서도 악인이예요 각성하기전까진
밀크씨슬,ㅋㅋㅋ
dmsa****,한서죽는건작 가마음이죠ㅎㅎㅎㅎㅎ근데아까그장면은 싫네요ㅎㅎㅎ
lott****,좀 잔인하지만 이제 드라마들이 참 다양하다..하고 생각해야죠..예전엔 이런 악당이 주인공인 드라마는 없었죠..금가식구들 금 좀 나눠주지~~
nym,장한서 한테 서사를 너무 많이 주고 곽동연이 연기를 너무 잘해서  너무 과몰입이 되서 그래요.
잔다코코,대부ㅡ큰아빠
촘촘이,저는 마피아이고 본인이 나쁜악인이고 인정하고 그렇지만 자긴자기하는데로 하겠단 그 소신이 나뿌다곤 못하겠어요ㅡ드라마니깐 ^^
dmsa****,진작죽였어야해진짜아아너무슬프네요
잔다코코,말하지말고 가만있어요
dmsa****,"아애기아빠인데,으악ㅜㅠ슬퍼요"
nym,한서 죽은건 저도 많이 아쉽지만 누가 죽어도 욕 먹는데 꼭! 죽인다면 주인공을 죽일순 없고 장한서 죽는게 제일 개연성은 있어요. 사랑의 불시착의 구승준 죽은 것 처럼
룰루랄라,빈센조는 마피아잖아요ㅎㅎㅎ
dmsa****,그러니까요참나각자자유롭게감상하시구주말잘보내세요들^^*
asdf123,그래서 자기도 나쁜놈이라고 인정하잖아요 극중에서 ㅋㅋ
my mino,권선징악  이라고  포장은...징악은 잔인했습니다...
유병현,무서워... 저건 빈센조가 옳은 일 한게 아니고 걍  잔인한 짓 한거임. 빈센조도 좋은 사람은 아님
밀크씨슬,구미호와 동거는 잼있으려나~~
촘촘이,제말이요 표현은 자유지만 강요는 노노노
푼수마녀,장한석도 속죄의 창 까지는 아 무셔...정도였는데 까마귀 등장에 무르팍 탁!
Jin Eun,볼 게 없네요.
dmsa****,같은장면보고 좋게느끼든.안좋게느끼든 본인도본인생각쓰시던지.다른사람생각을그러지마라고하는건아닌거같네여^3
밀크씨슬,한서 죽는 장면은 개망작 ㅋㅋ
촘촘이,포도밭거름 됩니다 원플러스원으로
잔다코코,재방 콜ㅡㅡ
푼수마녀,장한석 최후도 좋았지만 최명희의 최후는 윗트가 있어서 더 좋은? 줌바 음악에 맞춰서 불타는 땐스 ㅎㅎ
밀크씨슬,빈센조도 살인자인데  너무 아름답게 미화시켰네
dmsa****,엔딩은아직안봐서 그걸 까는게아니고한서죽는 그장면보고느낀데로쓰는겁니다 ㅎㅎㅎㅎㅎ 감상평은 자유가있지않나요
nym,그럼 요즘 드라마 거의 다 욕 먹어야죠. 19금만 달면 뮈합니까! 어짜피 19금 달면 사람들이 호기심에 더 보던데. 드라마에선 그런거 의미 없어요. 요즘 사람들은 자극적인걸 너무 좋아해서
룰루랄라,무서워
틱탁이,좀전에 마지막회 봤는데 정말 끝까지 한서 기다렸다는...몰타에서 놀고있는 한서를 기다렸는데 ..어흑 한서를 죽여야만했냐@!!!!!마지막 진짜 최악이야..  글구 진짜 넘 잔인해서 이불뒤집어쓰고봄;;;
Zero,최명희는 한결같이 줌바댄스와 함께 한 줌의재로...👋
유병현,진짜 빈센조랑 최명희랑 다를게 뭐냐....ㄹㅇ 너무 잔인해 이거 19 걸려야 정상임
dmsa****,그배우.딴건못봐서모르겠고못본건관심없답니다. 모든연기를.못한다고.까는게아니구요지금 실시간으로 드라마 시청하고 내가 직접 느낀걸 내가.글로써서 이야기나누는 톡 아닌가요?느낀대로쓰는거지욕하고물어뜯는거아닌데왜그렇게해석하시죠? 직접그렇게느끼셨나요? 대사할때. 숨소리없이 그냥글읽든 대사하고 영혼모르겠고 그거느껴서적은건데요
스카이블루,의외로 재밌게봄  첫회는 별로였는데
my mino,드라마 잖아요~ 서방왈
hyel****,응 재밌게 다 잘 봤다했어~ㅋ
Zero,배우 연기에 대해 뭐 이렇다 저렇다 할수있는데 어디서 그런배우 주워왔냐니;;; 그런말 마시라구요
hyel****,센차커플 세상 예쁨ㅠㅠㅠㅠㅠ
Jin Eun,이제 뭐보나.
밀크씨슬,빈센조 사람 졸라많이 죽이네 ~시덥잖은 로맨스는 왜넣어서 망작을 만드셨을까~!!
nym,배우분들 연기 다 훌륭했어요. 다른 드라마에 비해 엔딩도 좋았구요. 대부분 엔딩은 허무하게 끝나는게 많으니까! 그래서 끝나고 나면 대부분 비판을 많이 하더라고요.
cle,모방범죄 조장드라마될듯 ㄷㄷ
my mino,그래도 복수를 배우잖아요
잔다코코,야 ㅁㅊㄴㅇ
스카이블루,송중기 눈 왜케 이쁨
lam,빈센조도 너무 잔인해요 그래놓고 사랑은
lam,빈센조도 너무 잔인해요 그래놓고 사랑은
촘촘이,포도밭거름 된 최명희 장한석
유병현,와 너무 잔인하다 이건 19 안걸린게 용하다 ㄹㅇ
lam,한서가 죽은게 잠이안올둣
my mino,맨날 잔인...불타 죽는건
촘촘이,재방만 6번은 보는듯ㅋㅋ
cle,잔인하고 폭력적이네 ㄷㄷ싫다증말!
잔다코코,굿
푼수마녀,전여빈 배우 제가 드라마는 본 게 없어서 잘 모르는데 영화에서의 연기는 진짜 좋아요 죄많은 소녀/ 낙원의 밤 함 봐보세요
my mino,1회부터 는 못봐서 죄송므슨 내용인가 볼라캐도   유료고이렇게 잔인했나요?
잔다코코,약
dmsa****,"욕이아니구,,배역아니구,,배역을하고있는 배우가 너무 연기를 못한다고 느낀대로 이야기하는겁니다"
lam,우린연기못하니까 여기있는거고연기하려면 잘하던가 이빨 발음교정부터하고와
dmsa****,한서죽을때는그냥쳐다보는거만잘하더니뭐 이제와서한서 살아와도 좋지않을거같은 엔딩이네요
은단오,케릭터 욕은해도 배우욕은 하지 맙시다 배우는 잘못이 없잖아요ㅠ
lam,sww 전여빈?
sww,다들 연기 잘하시나봐요ㅎㅎ 누굴 욕할 정도면 익명 말고 직접 얼굴에 대고 하시지ㅎㅎ
유병현,ㅇㄴ 솔직히 어깨쪽 맞은 사람이랑 복부 맞은 사람 중에 누굴 먼저 구해야 할 것 같냐? 빈센조가 무슨 바보도 아니곹ㅋㅋㅋ 한서는 복부 맞아서 난리났는데 옆에서 둘이 멜로 찍고 앉아있눜ㅌㅌㅋ 그리고 오늘 사람을 총 몇명 죽이냐 도대체
dmsa****,모범택시내용전개연기전부다최고예요진짜
잔다코코,그냠 잘생김
잔다코코,그냠 잘생김
포글,빈센조 마지막에 하고싶은 말이 무슨말인가요
dmsa****,보지마세요. 그냥모범택시보세요시원시원하게
Zero,진짜 배우욕은 그만하시죠?
my mino,처음부터 보고싶네... 드라마가 왜그리 잔인해요?
dmsa****,빈센조까사노는방금보니까못하던데요?
은단오,시원을 쉬원이라고 썼다 흥분해서ㅋ
lam,저여자가 전여빈?? 다른드라마 확인했는데 까불거리고 발음세는것은여전하네요
domo****,현실에 없어 그런가....왜이리 통쾌하지...마지막회는 무서웠는데....우리사회는 항상 가해자만 봤어서 그런가...
sww,홍차영 연기하신 전여빈 배우분 연기만 잘하는데 왜 다들 못 물어뜯어서 안달임? 본인들은 얼마나 잘한다고 여기서 욕을 하지..?
dmsa****,ㅣ0000ㅇ0명의스텝고 배우몫을 여자가 혼자 다 씹어먹네요휴 망치는길로대사오글 아
은단오,악당들 처단하면 속쉬원할줄 알았는데  다시봐도 후련하지 않고 찝찝한기분만 드네 한서가 너무 불쌍하게 죽어서 그런가
Zero,한승혁 본체 진짜 촬영때 힘들었겠네요 거꾸로 누워서.. 연기 진짜 잘하네요
dmsa****,불시착은진짜잘됬으면좋겠고감정이입되고막웃음이나도모르게나오고그러던데이건러브감정이입은무슨ㅡㅡ
lam,어디서 그런배우를 주워왔나여?
dmsa****,이런후다닥ㅡㅡ잔인하게하면서아까그장면은 다른드라마찍은거죠으 넘시러
dmsa****,여자전여빈.홍차영아진짜대사너무시러국어책읽는ㅡㅡ
은단오,여자 총 경갑골쪽인가?거기 맞은거 같더데 그러게요 가슴도 아니고
lam,그 여주인공 누군가요? 허리길고 다리짧은 여자 뭔가 사랑의 불시착처럼 진짜 사귈것같은 눈빛이던데. .. 그럴일은 1도 없을듯
dmsa****,시즌2는무슨여자바꿉시다
dmsa****,그냥방해안되게총맞고쓰러지지한서살리고깨든가ㅡ.ㅡ눈왜그렇게끝까지둘이쳐다보고있는지그한씬이정다떨어져서지금감정이입도. 안되네요.ㅡㅡ
dmsa****,그러니까요여자왼쪽.가슴도아니더만
lam,멜로영화ㅉㅈ
lam,보다보다 속터져서 결국 빈센조도 죽어야하는거 아닌가? 별짓다했으면서
쭌맘,시즌 2 해주세요
은단오,한서가 죽었는데 둘이 병실에서 웃는것도 기막히고 한서얘기는 1도 않하고 멜로찍고 있는것도 어이없음
유병현,이때까지 빈센조 재밌었는데 마지막회로 다 무너져버리누.... 내용 중간에서 갑자기 최종회 하려니까 어떻게든 막회에 얘기 끝내려고 하다 개연성 확 떨어진 느낌 내용 갑자기 왜이랙
lam,내말이요
lam,어설프네요마피아 라면서 한서를 못지키나요? 한서동생을 죽게한건 빈센조인듯 마피아가 여자어깨 총맞은것때문에 한눈팔때???ㅉㅉ
은단오,여주가 빨리 도와주라고 말이라도 좀 하지
dmsa****,왜갑자기열일하나요그냥병실에같이드라마망치고있지ㅡ.ㄷ
viviana,빈센조는 여자때문에 마지막에 실망스럽ㅜ 진짜 멋있는 캐릭이었는데
dmsa****,총맞고동새이라하지말고그전에막지ㅡㅡ아
lam,펜트하우스따라하는듯
Hnaaaaaa,한서가 죽은건 정말 안타깝지만 한서도 바벨화확 피해자들 죽음에 가담했기때문에 벌 받은거 같아요ㅜ 전 이대로도 만족합니다ㅎㅎ
lam,여주인공 다리 너무짧아요 두 남자배우가 아깝네요
은단오,센조야 혹시 집안싸움에 안끼어든다는게 이건 아니지
푼수마녀,괴물 정말 훌륭한 드라마죠 저도 엄청 집중해서 봤어요 하지만 빈센조는 장르가 다르잖아요 바로 비교하기는 좀^^;
dmsa****,죽이려거든빠르게빠르게막을수없거나여자잡을때한순간에같이딱쏘던지쏜다쏜다쏠거다둘이는 구경하고둘이는 싸우고있고
viviana,병실 침대에서 둘이 웃는거 보고 깜놀..ㅜㅜ
양심 지키미,어휴..작품 잘 봤습니다.근데 한장면때문에 이렇게고생한 것을 날릴 수도 있다는 생각이 드네요.그동안 봐왔던 빈센조가그렇게 대처도없이 행동하고분별력이 없다고요.저도 장한서는 그때문에 죽었다고 생각되네요.죽이더라도 다른 방법도 많았을텐데..
유병현,해피엔딩도 아니고 ㄹㅇ 애매하다
유병현,그리고 장한거 쓰러지고 바로 알콩달콩 로맨스로 가버리네? 이게 뭐임 다 결말 찝찝하다해서 이해 안갔는데 이제야 이해가 가네... 진짜 사람을 몇명 죽이는 거야 아예 잔인으로 가버릴거면 시원통쾌하게 끝내던가... 그것도 아니고  이게 뭔... 그야말로 고구마 100개 찝찝 결말 그 자체....
dmsa****,"여자연기못해서안봤지만참아보려다가와방금진짜ㅡ.ㅡ여자연기도책읽는지빈센조못오게하라고소리지르는것도민폐녀?무튼진짜연기못해서여자부분집중력확떨어지네요진짜아뭔가답답해짜증,,나네요,,,"
einsioo,빈센조 엉덩이를 너무 붙여놨네!! 제압할 타임에 앉아서 뭐한거임!! 장한서 죽이려고 억지 씬을 만들었네!! 에휴
mama de conte,안기석팀장 너무 귀여움요
은단오,여자는 다리없다냐 혼자 못걸어?한서가 싸울때 센조가 총 뺏었으면 좋았을껄 너무 아쉽다
Flower,송중기배우는 역시! 연기신이였어. ❤
dmsa****,어휴답답
dmsa****,진짜정이확떨어졌네요둘다쳐다보고잇길래무슨장면이지했네요참나
dmsa****,총안사두되요그냥여자잡고안서있으면되요
다랭,그르니깐요 ㅋㅋㅋ 밧줄 풀시간에 때려잡앗겠다 ㅋ
dmsa****,지금까지 쌓아올린거다무너질만큼오글오글못보겠네요왜갑자기연기듣기싫치여자
호크아이,싸울 시간에 빗줄 푸는건 무슨 개설정이니??지금 시청자 우롱하냐??
다랭,끝이 아쉽다....
푼수마녀,럽라를 위해서든 한서의 장렬한? 죽음을 위해서든 얕은 수를 쓴 게 너무 눈에 보이고 여지껏 열렬히 응원하며 봐왔던 사람들 마음을 식혀버린 거죠
은단오,홍차 갑자기 미워짐  지들 살리고 죽었는데 누워서 웃는것도 싫음
einsioo,"빈센조! 천사의 탈을 쓴 악마!! 그나마 볼만하다가 마지막 두 편 짜증스럽고 역겹다!! 범죄자에 대한 처단 방법이 통쾌하지도 못하고 감동도 없고 매스꺼움만 한가득!!! 모범택시도 맥락은 같지만 공감, 감동 통쾌사이다인데.. 빈센조가 마피아지만 저정도면  싸이코랑 뭐가 다르지!! 작가가 싸이코인가??"
러브chuu,이렇든 저렇든 송중기는 멋졌다 👍
dmsa****,"여자붙잡고가만히서있는거는과녁을 맞추라고서있던건가요?러브는살리고하던지방금장면은 너무 심하게 질질끌고 이상하고,,여자 소리지르는거랑 대사고 글읽는거같이 뭔가 이…상…갑자기집중확떨어지네요ㅡ.ㅡ"
dmsa****,"여자붙잡고가만히서있는거는과녁을 맞추라고서있던건가요?러브는살리고하던지방금장면은 너무 심하게 질질끌고 이상하고,,여자 소리지르는거랑 대사고 글읽는거같이 뭔가 이…상…갑자기집중확떨어지네요ㅡ.ㅡ"
푼수마녀,구승준은 죽을 만? 하게 죽었죠 비교될 일이 아닌 거 같아요 지금 19 엔딩이 비난 받는 게 단순히 ‘귀여운 장한서를 죽여서’ 가 아니예요 한서가 하키채로 한석 내리칠 때 센조가 같이 움직였으면 차영도 총에 맞을 일 없었죠
호크아이,시청자를 뭘로 보고 이따구로 연출하냐
유병현,미친 아 이럴거면 막판에 선역 만들어 놓지를 말던가...ㅜㅠㅠㅠㅠㅜ 짠하게 왜이래ㅠㅜㅠㅜㅜㅠㅜ  진짜 아ㅠㅠㅠ 후오끄움 ㅜㅜㅡ우어ㅓㅠㅠㅠㅠ
dmsa****,다같은마음으로모이셨네요ṑṑṑṑṑṑṑṑṑ근까요여자저기기둥뒤에두고싸워야지왜계속여자붙잡고있는건데요총쏠껄누가봐도알겠는데빈센조만모르나요질질끌다가암것도안하고총맞아서더열받네요
호크아이,clean boat cleaned it
viviana,이 장면 때문에 홍차영이 싫어짐 ㅜ
룰루랄라,쟤도 잘한건 없지만 불쌍하네 반성하고 잘 살아보려다가
viviana,제 생각도 이장면이 최악이었던 ㅠ 여자 살리려다 지게 되는 진부한 설정
서풍,역시나 결말도 실망!제발 2탄은 나오지 마라.송중기를 한단계 아래로 끌어 내린 작품이였어
밀크씨슬,여자에 미친 빈센조 ㅋㅋ 연출 개답답
삶의 현장,건달들 다 어디감?
아침이슬,언제나 재빠른 빈센조가 장한서땐 왜그리 굼뜨고  미련한지.정말 송배우 팬이지만 욕이 절로.배우.연출.작가는 모두 이해되는 장면인지 묻고 싶네요.  좀더 안타까울수 있었을텐데  화가나서 묻히게 하는 최악의 장면.
초코,빈센조 송중기 오빠로 2  제작 원해요❤
kjs,저도 시즌2 기다릴 려고요작가님 빈센조 너무잘받써요.
nym,장힌서는 진짜 애정이 많이 가는 캐릭이였는데!저도 그건 속상해요. 이번에 곽동연님 정말 연기 너무 잘 하는구나 알았어요.다른 드라마에서 주연을 하면 극을 혼자서도 이끌어 나갈 수 있을거 같아요. 빨리 주연 하는 드라마 보고 싶네요.
굼디빵팡,러브라인 나만 불호인가..
Zero,장한서 본체가 이건 너무 잘생겨서 연기 잘해서 그렇네 ㅋ 곽동연배우가 잘못했네 ㅋㅋㅋ 근데 장한서는 나쁜놈이라는거... 나중에 개과천선했지만 그래서 그 죽음이 안타깝긴합니다 그러나 한서 살려두면 전체적 그림이 완성이 안돼죠 바벨을 무너뜨린다고 했는데 바벨패밀리 자체 모두 붕괴 그런의미에서 아쉽지만 맞다고 생각합니다
마리안느,헐 또 여자붙잡고 씨름하다 장한조를 팽개처죽이네?  빈센조가 너무 이기적인놈아닌가
nym,그건 장한서가 너무  찡하고 애정이 많아서 그런거 같아요. 그부분은 저도 속상 했어요. 진짜 살길 바랬는데 그 부분만 빼면 다른 드라마에 비해선 엔딩이 괜찮았어요.
채은,https://vt.tiktok.com/ZSJAotc2T/
채은,"열분 지금 심각., 백제예술대상 틱톡인기상인가?? 빈센조가 2등이에요ㅠㅠ 김선호도좋지만 1등은 센조잖아요 투표간절ㅠㅠ"
비밀비밀,배우님들 수고많으셨어요~!! 빈센조 모두 팬입니다!! 재미있게 너무 좋겠어요~!!
Zero,한서는 가족 배신한거고 한석이는 그런 한서를 처단한거죠 악의 관점에서 봐야해요 어차피 저 때 안죽었어도 한석이는 한서를 한승혁처럼 무조건 죽였을거에요 그런 한서도 다 알고 죽을날 받아놓고 싸운거구요
nym,저도 나중에 반전이 있길 바랬는데 그럼 계속 반복 같아서 식상해 할 수도 있어서 반전 없이 장한서가 죽는걸로 한거 같네요. 그래서 더 찡한거 같아요.
마리안느,아무리드라마지만 빈센조가 대신싸우는 동생을 버리고 여자손부터 풀러주고 튀려는거 진짜 개짜증남..나만 느낀게아니네
수피아,얼마전 끝난 괴물의 시나리오 구성 짜임새있는 연출에 홀딱 빠지고 난 뒤라서... 빈센조의 구멍이 너무 많이 보임..
마리안느,바벨동생이 대신싸우는와중에 튀다가 여잔총맞고..나언..
nym,저도 장한서 좋았는데 그게 제일 아쉽지만 주인공은 죽일 수 없고 악인에서 나중엔 빈센조 편이 됐지만 장한서 밖에 없는거 같아요. 사랑의 블시착에서 구승준 죽인 것 처렁요. 그래서 안티가 좀 많아지긴 했지만!
